Violation_Code,Health_Code,Violation_Summary,Category_Description,Violation_Template,Condition I,Condition II,Condition III,Condition IV,Condition V
02E,NYCHC 81.09(f)(5),"Whole frozen poultry, other than a single portion, cooked frozen or partially thawed",COOKING,"Whole frozen poultry, other than a single portion, cooked frozen or partially thawed in that <QUANTITY> <UNIT> <of/BYPASS> <ADJECTIVE> <FOOD> <BODY PARTS> <CONDITION 16> <OPTIONAL-INPUT>. Food observed <IN/AT/ON> <EQUIPMENT> <LOCATION>. Corrective action: <CORRECTIVE ACTION 16>. NYCHC 81.09(f)(5) ",One whole poultry or poultry breast being cooked from a frozen state.  Example: chicken breast. Score: 5,"Two or more whole poultry or poultry breasts being cooked from a frozen state.  Example: chicken breast, whole chicken, turkey breast and duck. Score: 6",,,
02F,NYCHC 81.09(c)(8),"Eggs, meat, fish, other PHF'S, other seafood served raw or undercooked",COOKING,"Eggs, meat, fish or any other raw or undercooked seafood served raw or without adequate heat treatment for the required amount of time pursuant to Section 81.09 of the New York City Health Code in that <QUANTITY> <UNIT> <OF/BYPASS> <ADJECTIVE> <FOOD> <WAS/WERE> <HEATED TO #°F/SERVED RAW> <OPTIONAL-INPUT> and the customer neither requested nor was notified of the inadequate heat treatment. Food observed <IN/AT/ON> <EQUIPMENT> <LOCATION>. Corrective action: <CORRECTIVE ACTION 17>. NYCHC 81.09(c)(8)",,,,"Failure to properly cook meats, comminuted meats, fish, shellfish and other PHFs, unless a consumer specifically asks for their order to be cooked below the minimum temperature. Score: 8",
02G,NYCHC 81.09(a),PHF held above 41°F,COLD HOLDING,"Potentially hazardous cold food, other than processed fish, not held at or below 41°F  (5°C) in that <QUANTITY> <UNIT> <of/BYPASS> <ADJECTIVE> <FOOD> <BODY PARTS> registered at <#>°F <in/at/on><EQUIPMENT> <LOCATION>. <CONDITION 18>. <OPTIONAL INPUT 18> Corrective action: <CORRECTIVE ACTION 18>.  NYCHC 81.09(a)  Note: NYCHC and OATH Law sets situations when food may be out of temperature (OOT). See, e.g., Everyday Gourmet Deli, Inc., Dkt No. 0645112F1 (App. Unit 10/4/12) (rejecting necessary preparation when respondent failed to show preparation required food to be OOT); Restaurants LLC Trump, Dkt No. 2335313F1 (App. Unit 2/12/14) (rejecting reheating defense when respondent used improper reheating method); Gus & Steve Luncheonette, Inc., Dkt No. 2457312F1 (App. Unit 2/4/13) (same, thawing); Palate Restaurant LLC, Dkt 09264-15F1 (App. Unit 10/19/15) (same, cooling); LLC Koi NY, Dkt No. 2389413F1 (App. Unit 4/10/14) (same, TPHC). Rulings available at nyls.edu/cityadmin",One cold food item out of temperature in one area.  Example:  one slab of unsliced smoked salmon or packet or tray of smoked salmon slices above 38° F or one tray of potato salad above 41° F in service display case.  Score: 7,"Two cold food items out of temperature or the same food item out of temperature in 2 different areas. Example: one slab of smoked salmon above 38° F and one tray of sliced tomatoes above 41° F; or one bowl of potato salad in the service display case, and one bowl of potato salad in the food preparation area above 41° F. Score: 8",Three cold food items out of temperature. Example: one  slab of smoked salmon above 38° F and tray of sliced tomatoes and platter of tuna salad above 41° F; or one bowl of potato salad in the service display case and one bowl of potato salad in the food preparation area and garlic in oil mixture above 41° F.  Score: 9,"Four cold food items out of temperature.  Example: one slab of smoked salmon above 38° F and tray of sliced tomatoes, bowl of garlic in oil mixture, and bowl of cooked collard greens above 41° F; or one tray of potato salad in the service display case, one tray of potato salad in the reach-in refrigerator, and one tray of potato salad on the food preparation table above 41° F. Score: 10",Failure to correct any conditions of a PHH at time of inspection. Score: 28
02G,NYCHC 81.09(a)(2),Eggs not found at ambient temp. of 45°F or below,COLD HOLDING,"Intact raw shell eggs found not held at ambient temperature of 45°F or below in that <QUANTITY> <UNIT> <of/BYPASS> <TYPE OF EGG> eggs found at ambient temperature of <#>°F <IN/AT/ON> <EQUIPMENT> <LOCATION>. <OPTIONAL INPUT 128>. Corrective action: <CORRECTIVE ACTION 128>. NYCHC 81.09(a)(2)   Note: NYCHC and OATH Law sets situations when food may be out of temperature (OOT). See, e.g., Everyday Gourmet Deli, Inc., Dkt No. 0645112F1 (App. Unit 10/4/12) (rejecting necessary preparation when respondent failed to show preparation required food to be OOT); Restaurants LLC Trump, Dkt No. 2335313F1 (App. Unit 2/12/14) (rejecting reheating defense when respondent used improper reheating method); Gus & Steve Luncheonette, Inc., Dkt No. 2457312F1 (App. Unit 2/4/13) (same, thawing); Palate Restaurant LLC, Dkt 09264-15F1 (App. Unit 10/19/15) (same, cooling); LLC Koi NY, Dkt No. 2389413F1 (App. Unit 4/10/14) (same, TPHC). Rulings available at nyls.edu/cityadmin",One cold food item out of temperature in one area.  Example:  one slab of unsliced smoked salmon or packet or tray of smoked salmon slices above 38° F or one tray of potato salad above 41° F in service display case.  Score: 7,"Two cold food items out of temperature or the same food item out of temperature in 2 different areas. Example: one slab of smoked salmon above 38° F and one tray of sliced tomatoes above 41° F; or one bowl of potato salad in the service display case, and one bowl of potato salad in the food preparation area above 41° F. Score: 8",Three cold food items out of temperature. Example: one  slab of smoked salmon above 38° F and tray of sliced tomatoes and platter of tuna salad above 41° F; or one bowl of potato salad in the service display case and one bowl of potato salad in the food preparation area and garlic in oil mixture above 41° F.  Score: 9,"Four cold food items out of temperature.  Example: one slab of smoked salmon above 38° F and tray of sliced tomatoes, bowl of garlic in oil mixture, and bowl of cooked collard greens above 41° F; or one tray of potato salad in the service display case, one tray of potato salad in the reach-in refrigerator, and one tray of potato salad on the food preparation table above 41° F. Score: 10",Failure to correct any conditions of a PHH at time of inspection. Score: 28
02G,NYCHC 81.09(a)(3),Processed fish held above 38°F/41°F,COLD HOLDING,"Processed fish or processed fish product, <CONDITION 19> <QUANTITY> <UNIT> <of/BYPASS> <ADJECTIVE> <FOOD> registered at <#>°F <IN/AT/ON> <EQUIPMENT> <LOCATION>. Fish has been in equipment for <#> <TIME>, as per operator's statement. <KEYBOARD ENTRY>.  Corrective action: <CORRECTIVE ACTION 19>. NYCHC 81.09(a)(3)    Note: NYCHC and OATH Law sets situations when food may be out of temperature (OOT). See, e.g., Everyday Gourmet Deli, Inc., Dkt No. 0645112F1 (App. Unit 10/4/12) (rejecting necessary preparation when respondent failed to show preparation required food to be OOT); Restaurants LLC Trump, Dkt No. 2335313F1 (App. Unit 2/12/14) (rejecting reheating defense when respondent used improper reheating method); Gus & Steve Luncheonette, Inc., Dkt No. 2457312F1 (App. Unit 2/4/13) (same, thawing); Palate Restaurant LLC, Dkt 09264-15F1 (App. Unit 10/19/15) (same, cooling); LLC Koi NY, Dkt No. 2389413F1 (App. Unit 4/10/14) (same, TPHC). Rulings available at nyls.edu/cityadmin",One cold food item out of temperature in one area.  Example:  one slab of unsliced smoked salmon or packet or tray of smoked salmon slices above 38° F or one tray of potato salad above 41° F in service display case.  Score: 7,"Two cold food items out of temperature or the same food item out of temperature in 2 different areas. Example: one slab of smoked salmon above 38° F and one tray of sliced tomatoes above 41° F; or one bowl of potato salad in the service display case, and one bowl of potato salad in the food preparation area above 41° F. Score: 8",Three cold food items out of temperature. Example: one  slab of smoked salmon above 38° F and tray of sliced tomatoes and platter of tuna salad above 41° F; or one bowl of potato salad in the service display case and one bowl of potato salad in the food preparation area and garlic in oil mixture above 41° F.  Score: 9,"Four cold food items out of temperature.  Example: one slab of smoked salmon above 38° F and tray of sliced tomatoes, bowl of garlic in oil mixture, and bowl of cooked collard greens above 41° F; or one tray of potato salad in the service display case, one tray of potato salad in the reach-in refrigerator, and one tray of potato salad on the food preparation table above 41° F. Score: 10",Failure to correct any conditions of a PHH at time of inspection. Score: 28
02G,NYCHC 81.12(d)(2),Reduce oxygen packaged raw foods not held at proper temperatures ,REDUCE OXYGEN PACKAGE,Raw <ROP> <FOOD> not held at or below 38°F for no more than 14 days  in accordance with approved HACCP plan in that <QUANTITY> <UNIT> <OF/BYPASS> <ROP> <FOOD> <IN/AT/ON> <EQUIPMENT> <LOCATION> registered at  <#>°F .   Said  <ROP> <FOOD> <WAS/WERE> <KEYBOARD ENTRY>.  <CORRECTIVE ACTION 167>. NYCHC 81.12(d)(2),One cold food item out of temperature in one area.  Example:  one slab of unsliced smoked salmon or packet or tray of smoked salmon slices above 38° F or one tray of potato salad above 41° F in service display case.  Score: 7,"Two cold food items out of temperature or the same food item out of temperature in 2 different areas. Example: one slab of smoked salmon above 38° F and one tray of sliced tomatoes above 41° F; or one bowl of potato salad in the service display case, and one bowl of potato salad in the food preparation area above 41° F. Score: 8",Three cold food items out of temperature. Example: one  slab of smoked salmon above 38° F and tray of sliced tomatoes and platter of tuna salad above 41° F; or one bowl of potato salad in the service display case and one bowl of potato salad in the food preparation area and garlic in oil mixture above 41° F.  Score: 9,"Four cold food items out of temperature.  Example: one slab of smoked salmon above 38° F and tray of sliced tomatoes, bowl of garlic in oil mixture, and bowl of cooked collard greens above 41° F; or one tray of potato salad in the service display case, one tray of potato salad in the reach-in refrigerator, and one tray of potato salad on the food preparation table above 41° F. Score: 10",Failure to correct any conditions of a PHH at time of inspection. Score: 28
02G,NYCHC 81.12(d)(4),Reduce oxygen packaged foods not held at proper temperatures ,REDUCE OXYGEN PACKAGE,Cooked <ROP> <FOOD> not held at or below <#>°F in accordance with approved HACCP plan in that <QUANTITY> <UNIT> <OF/BYPASS> <ROP> <FOOD> <IN/AT/ON> <EQUIPMENT> <LOCATION> registered at  <#>°F .   Said  <ROP> <FOOD> <WAS/WERE> <KEYBOARD ENTRY>.  <CORRECTIVE ACTION 167>. NYCHC 81.12(d)(4) ,One cold food item out of temperature in one area.  Example:  one slab of unsliced smoked salmon or packet or tray of smoked salmon slices above 38° F or one tray of potato salad above 41° F in service display case.  Score: 7,"Two cold food items out of temperature or the same food item out of temperature in 2 different areas. Example: one slab of smoked salmon above 38° F and one tray of sliced tomatoes above 41° F; or one bowl of potato salad in the service display case, and one bowl of potato salad in the food preparation area above 41° F. Score: 8",Three cold food items out of temperature. Example: one  slab of smoked salmon above 38° F and tray of sliced tomatoes and platter of tuna salad above 41° F; or one bowl of potato salad in the service display case and one bowl of potato salad in the food preparation area and garlic in oil mixture above 41° F.  Score: 9,"Four cold food items out of temperature.  Example: one slab of smoked salmon above 38° F and tray of sliced tomatoes, bowl of garlic in oil mixture, and bowl of cooked collard greens above 41° F; or one tray of potato salad in the service display case, one tray of potato salad in the reach-in refrigerator, and one tray of potato salad on the food preparation table above 41° F. Score: 10",Failure to correct any conditions of a PHH at time of inspection. Score: 28
02H,NYCHC 81.09(e),PHF hot/cooked food not cooled by a method that will reduce the temperature of the product,COOLING & REFRIGERATION,Potentially hazardous cooked food not cooled by a method that will reduce the temperature of the product from 140°F(60°C) to 70°F(21.1°C) within 2 hours and from 70°F(21.1°C) to 41°F(5°C) or less within 4 additional hours in that <QUANTITY> <UNIT> <of/BYPASS> <ADJECTIVE> <FOOD> <BODY PARTS> <IN/AT/ON> <EQUIPMENT> <LOCATION> registered at <#>°F. Food had been cooling for <#> <TIME> as per operators statement. <OPTIONAL INPUT 20> Corrective action: <CORRECTIVE ACTION 20>. NYCHC 81.09(e) ,"One food item not cooled by approved method.  Example: one whole, cooked turkey. Score: 7","Two food items not cooled by approved method. Example: two whole, cooked turkeys. Score: 8","Three food items not cooled by approved method. Example: two whole, cooked turkeys and one container of deep pot chicken stew. Score: 9","Four or more food items not cooled by approved method. Example: two whole, cooked turkeys, one container of deep pot chicken stew and 10 pounds of cooked rice. Score: 10",Failure to correct any condition of a PHH at time of inspection. Score: 28
02I,NYCHC 81.09(e)(2),PHF prepared from ambient temp ingredients or removed from cold holding not cooled to 41°F within 4 hours or cooling method inadequate,COOLING & REFRIGERATION,Potentially hazardous food not cooled to 41°F(5°C) or below within 4 hours of preparation or not cooled by an approved method in that <QUANTITY> <UNIT> <of/BYPASS> <ADJECTIVE> <FOOD> registered at <#>°F <in/at/on> <EQUIPMENT> <LOCATION>.<KEYBOARD ENTRY>. Corrective action: <CORRECTIVE ACTION 21>. NYCHC 81.09(e)(2) ,One food item prepared from ambient temperature ingredients not cooled to 41° F.  Example: tuna salad prepared with canned tuna above 41° F. Score: 5,Two food items prepared from ambient temperature ingredients not cooled to 41° F.  Example: tuna and salmon salads prepared with canned tuna and salmon above 41° F. Score: 6,"Three food items prepared from ambient temperature ingredients not cooled to 41° F. Example: tuna and salmon salads prepared with canned tuna and salmon, and open can of sardines above 41° F. Score: 7","Four or more food items prepared from ambient temperature ingredients not cooled to 41° F. Example: tuna and salmon salads prepared with canned tuna and salmon, and open cans of sardines and anchovies above 41° F. Score: 8",
02J,NYCHC 81.12(d)(4),Reduce oxygen packaged foods not properly cooled,REDUCE OXYGEN PACKAGE,<QUANTITY> <UNIT> <OF/BYPASS> <ROP> <FOOD> <BYPASS/LABELED TO BE HELD> was not properly cooled so that every part of the ROP packaged was reduced from <ROP COOLING TEMPERATURES>.  At the time of the inspection the product tested at <#>°F and as per operator's statement has been cooling for <#> <TIME> <IN/AT/ON> <EQUIPMENT> <LOCATION>.  <CORRECTIVE ACTION 167>.  NYCHC 81.12(d)(4),One ROP food item not cooled by approved method. Example: ROP beef stew (twelve 4 oz. packages). Score: 7,Two ROP food items not cooled by approved method. Example: ROP beef stew (twelve 4 oz. packages) and ROP chicken fricassee (two – 2 lb. packages). Score: 8,"Three ROP food items not cooled by approved method. Example: ROP beef stew (twelve 4 oz. packages), ROP chicken fricassee (two 2 lb. packages) and ROP pork tenderloin (sixteen 8oz packages). Score: 9","Four ROP food items not cooled by approved method.  Example: ROP beef stew (twelve 4 oz. packages), ROP chicken fricassee (two 2 lb. packages), ROP pork tenderloin (sixteen 8 oz. packages) and meat sauce (six 1lb packages). Score: 10",Failure to correct any conditions of a PHH at time of inspection. Call office to speak to supervisor Score: 28
03A,NYCHC 81.04,Food: unapproved source,UNAPPROVED SOURCE,"Food from unapproved source or unknown source, or home canned in that <QUANTITY> <UNIT> <of/BYPASS> <ADJECTIVE> <FOOD> <BODY PARTS> found to be <CONDITION 22> <IN/AT/ON> <EQUIPMENT> <LOCATION>. <OPTIONAL INPUT 22>. Corrective action: <CORRECTIVE ACTION 22>. NYCHC 81.04",,,,"One or more food items not from an approved source, or home canned. Example: wild mushrooms or home canned jellies or ROP fish not frozen before processing. Score: 10",Failure to correct any condition of a PHH at the time of inspection. Inspector must call office to discuss closing or other enforcement measures. Score: 28
03A,NYCHC 81.04,Food: unapproved source (eggs),UNAPPROVED SOURCE,Eggs from an unapproved source or unknown source in that <QUANTITY> <UNIT> <of/BYPASS> <ADJECTIVE> <FOOD> <IN/AT/ON> <LOCATION> <EQUIPMENT> were observed to be received in containers or being stored in the original containers that do not identify the source of the eggs.  Corrective action: <CORRECTIVE ACTION 22>. NYCHC 81.04 ,,,,"One or more food items not from an approved source, or home canned. Example: wild mushrooms or home canned jellies or ROP fish not frozen before processing. Score: 10",Failure to correct any condition of a PHH at the time of inspection. Inspector must call office to discuss closing or other enforcement measures. Score: 28
03A,NYCHC 81.04(b),Food: unapproved source (meat),UNAPPROVED SOURCE,Meat from an unapproved source or unknown source in that <QUANTITY> <UNIT> <of/BYPASS> <ADJECTIVE> <FOOD> <BODY PARTS> found to be <CONDITION 22> <IN/AT/ON> <EQUIPMENT> <LOCATION>. Said meat <WAS/WERE> not inspected or approved by the United States Department of Agriculture or any other authorized government agency.  Corrective action: <CORRECTIVE ACTION 22>. NYCHC 81.04(b),,,,"One or more food items not from an approved source, or home canned. Example: wild mushrooms or home canned jellies or ROP fish not frozen before processing. Score: 10",Failure to correct any condition of a PHH at the time of inspection. Inspector must call office to discuss closing or other enforcement measures. Score: 28
03A,NYCHC 81.12(c),Reduce oxygen packaged foods from unapproved source,REDUCE OXYGEN PACKAGE,"<QUANTITY> <UNIT> <OF/BYPASS> <ROP> <FOOD> <WERE/ARE> <CONDITION 169>, a facility that is not wholly owned and permitted by the respondent <AS PER/BYPASS> <BYPASS/KEYBOARD ENTRY>.  Said <FOOD> <WAS/WERE> observed <DELIVERY METHOD> <IN/AT/ON> <EQUIPMENT> <LOCATION>.  <CORRECTIVE ACTION 169> NYCHC 81.12(c)",,,,"One or more food items not from an approved source, or home canned. Example: wild mushrooms or home canned jellies or ROP fish not frozen before processing. Score: 10",Failure to correct any condition of a PHH at the time of inspection. Inspector must call office to discuss closing or other enforcement measures. Score: 28
03A,NYCHC 81.12(e),ROP fish not frozen before processing,REDUCE OXYGEN PACKAGE,<QUANTITY> <UNIT> of <FISH> <IS BEING/WAS> <ROP> without being frozen.  <BYPASS/AS PER> <CONDITION 170>   <CORRECTIVE ACTION 170> NYCHC 81.12(e) ,,,,"One or more food items not from an approved source, or home canned. Example: wild mushrooms or home canned jellies or ROP fish not frozen before processing. Score: 10",Failure to correct any condition of a PHH at the time of inspection. Inspector must call office to discuss closing or other enforcement measures. Score: 28
03B,NYCHC 81.04(c),Shellfish tags not retained 90 days,UNAPPROVED SOURCE,Shellfish tags not retained for 90 days in that shellfish tags for <SHELLFISH TYPE> <KEYBOARD ENTRY>. NYCHC 81.04(c),,,,"One or more containers or kinds of shellfish not from an approved source, improperly tagged/labeled; tags not retained for 90 days. Example: clams not tagged, oyster tags not retained for 90 days, mussels improperly labeled and mussels not tagged. Score: 10",Failure to correct any condition of a PHH at the time of inspection. Inspector must call office to discuss closing or other enforcement measures. Score: 28
03B,NYCHC 81.04(c),Shellfish: not identified/improperly identified,UNAPPROVED SOURCE,Shellfish not identified with tag(s) or improperly identified in that <QUANTITY> <UNIT> <of/BYPASS> <SHELLFISH TYPE> <WAS/WERE> observed <CONDITION 25> <IN/AT/ON> <EQUIPMENT> <LOCATION>. Corrective action: <CORRECTIVE ACTION 25>. NYCHC 81.04(c),,,,"One or more containers or kinds of shellfish not from an approved source, improperly tagged/labeled; tags not retained for 90 days. Example: clams not tagged, oyster tags not retained for 90 days, mussels improperly labeled and mussels not tagged. Score: 10",Failure to correct any condition of a PHH at the time of inspection. Inspector must call office to discuss closing or other enforcement measures. Score: 28
